Pclass,Name,Sex,Age,Siblings/Spouses Aboard,Parents/Children Aboard,Fare
3,Mr. Frederick Sage,male,17,8,2,69.55
3,Mr. Jakob Alfred Johanson,male,34,0,0,6.4958
3,Mr. Gerious Youseff,male,45.5,0,0,7.225
3,Mr. Gurshon Cohen,male,18,0,0,8.05
3,Miss. Telma Matilda Strom,female,2,0,1,10.4625
3,Mr. Karl Alfred Backstrom,male,32,1,0,15.85
3,Mr. Nassef Cassem Albimona,male,26,0,0,18.7875
3,Miss. Helen Carr,female,16,0,0,7.75
1,Mr. Henry Blank,male,40,0,0,31
3,Mr. Ahmed Ali,male,24,0,0,7.05
2,Miss. Clear Annie Cameron,female,35,0,0,21
3,Mr. John Henry Perkin,male,22,0,0,7.25
2,Mr. Hans Kristensen Givard,male,30,0,0,13
3,Mr. Philip Kiernan,male,22,1,0,7.75
1,Miss. Madeleine Newell,female,31,1,0,113.275
3,Miss. Eliina Honkanen,female,27,0,0,7.925
2,Mr. Sidney Samuel Jacobsohn,male,42,1,0,27
1,Miss. Albina Bazzani,female,32,0,0,76.2917
2,Mr. Walter Harris,male,30,0,0,10.5
3,Mr. Victor Francis Sunderland,male,16,0,0,8.05
2,Mr. James H Bracken,male,27,0,0,13
3,Mr. George Henry Green,male,51,0,0,8.05
3,Mr. Christo Nenkoff,male,22,0,0,7.8958
1,Mr. Frederick Maxfield Hoyt,male,38,1,0,90
3,Mr. Karl Ivar Sven Berglund,male,22,0,0,9.35
2,Mr. William John Mellors,male,19,0,0,10.5
3,Mr. John Hall Lovell,male,20.5,0,0,7.25
2,Mr. Arne Jonas Fahlstrom,male,18,0,0,13
3,Miss. Mathilde Lefebre,female,12,3,1,25.4667
1,Mrs. Henry Birkhardt (Irene Wallach) Harris,female,35,1,0,83.475
3,Mr. Bengt Edvin Larsson,male,29,0,0,7.775
2,Mr. Ernst Adolf Sjostedt,male,59,0,0,13.5
3,Miss. Lillian Gertrud Asplund,female,5,4,2,31.3875
2,Mr. Robert William Norman Leyson,male,24,0,0,10.5
